cylinders,fuel,mileage,body,doors,drivetrain,price
4.0,3,9.0,6,4.0,3,40145.0
4.0,3,6.0,6,4.0,0,33977.0
6.0,3,10.0,6,4.0,1,54209.0
6.0,3,6.0,6,4.0,1,44759.0
8.0,3,29.0,6,4.0,0,46835.0
6.0,0,0.0,5,4.0,1,68600.0
6.0,0,17.0,5,4.0,1,79675.0
6.0,0,15.0,5,4.0,1,84701.0
4.0,3,10.0,6,4.0,2,32491.0
6.0,3,23.0,6,4.0,3,54641.0
4.0,4,10.0,6,4.0,0,35775.0
4.0,3,6.0,6,4.0,2,21123.0
4.0,4,10.0,6,4.0,0,37805.0
4.0,4,26.0,6,4.0,1,61179.0
6.0,0,22.0,5,4.0,1,63670.0
6.0,0,6.0,5,4.0,1,66334.0
4.0,3,4.0,5,4.0,0,36550.0
4.0,3,76.0,7,4.0,2,39375.0
4.0,3,10.0,6,4.0,1,40235.0
8.0,3,23.0,6,4.0,0,46835.0
8.0,3,5.0,5,4.0,1,47410.0
4.0,4,9.0,6,4.0,0,35656.0
8.0,3,5.0,5,4.0,1,57635.0
6.0,3,6.0,0,3.0,2,53445.0
6.0,3,5.0,6,4.0,1,55020.0
4.0,3,28.0,7,4.0,2,22260.0
3.0,3,13.0,6,4.0,1,31390.0
8.0,3,11.0,6,4.0,0,47340.0
8.0,3,2.0,5,4.0,1,88478.0
6.0,0,0.0,5,4.0,1,81036.0
8.0,3,14.0,6,4.0,0,47340.0
8.0,0,4.0,5,4.0,1,102287.0
8.0,3,32.0,6,4.0,0,46835.0
8.0,3,2.0,5,4.0,1,49944.0
4.0,3,0.0,6,4.0,2,29182.0
4.0,3,0.0,6,4.0,0,52180.0
4.0,3,3.0,6,4.0,1,61506.0
3.0,3,0.0,6,4.0,2,30278.0
4.0,4,17.0,6,4.0,1,58230.0
6.0,3,0.0,5,4.0,1,53796.0
3.0,3,5.0,6,4.0,0,36405.0
4.0,3,10.0,6,4.0,0,48541.0
6.0,3,1.0,6,4.0,1,49075.0
6.0,3,10.0,6,4.0,1,49139.0
4.0,3,7.0,6,4.0,1,31535.0
3.0,3,5.0,6,4.0,2,28000.0
4.0,4,5.0,6,4.0,1,63440.0
4.0,3,0.0,6,4.0,1,37743.0
4.0,3,15.0,6,4.0,0,36810.0
8.0,3,21.0,6,4.0,0,46835.0
8.0,3,17.0,5,4.0,1,49229.0
8.0,3,39.0,6,4.0,0,47165.0
6.0,3,1.0,0,3.0,3,51803.0
4.0,3,7.0,6,4.0,1,28860.0
4.0,4,0.0,6,4.0,0,50209.0
4.0,5,0.0,6,4.0,0,50955.0
6.0,3,6.0,6,4.0,1,53160.0
6.0,3,20.0,7,4.0,3,36083.0
4.0,3,0.0,6,4.0,1,30525.0
6.0,0,6.0,5,4.0,1,83940.0
4.0,3,11.0,6,4.0,2,46855.0
6.0,0,16.0,5,4.0,1,77085.0
4.0,3,1.0,5,4.0,0,41955.0
4.0,4,1.0,6,4.0,0,45844.0
6.0,3,0.0,6,4.0,1,39370.0
4.0,3,1.0,5,4.0,0,40434.0
4.0,3,0.0,6,4.0,0,49895.0
4.0,4,12.0,6,4.0,0,40979.0
4.0,3,48.0,6,4.0,0,32485.0
4.0,4,1.0,6,4.0,0,36900.0
6.0,3,12.0,5,4.0,1,46791.0
4.0,3,34.0,6,4.0,1,58909.0
4.0,3,9.0,7,4.0,2,21000.0
6.0,3,6.0,6,4.0,1,86490.0
6.0,3,13.0,6,4.0,0,44852.0
4.0,3,12.0,6,4.0,2,24430.0
6.0,3,10.0,6,4.0,1,46721.0
8.0,3,1.0,5,4.0,1,50030.0
8.0,3,2.0,5,4.0,1,49632.0
8.0,3,32.0,6,4.0,0,46835.0
4.0,3,3.0,6,4.0,2,48350.0
6.0,3,6.0,6,4.0,1,44737.0
4.0,5,9.0,6,4.0,0,54949.0
6.0,3,181.0,0,3.0,2,67749.0
8.0,3,32.0,6,4.0,0,47340.0
6.0,3,3.0,6,4.0,0,44850.0
6.0,0,16.0,5,4.0,1,64965.0
4.0,4,10.0,6,4.0,1,54910.0
4.0,3,7.0,6,4.0,0,40630.0
6.0,3,7.0,6,4.0,0,75925.0
6.0,0,5.0,5,4.0,1,63145.0
6.0,3,5.0,4,4.0,2,38954.0
3.0,3,4.0,6,4.0,0,34305.0
4.0,3,66.0,6,4.0,0,28098.0
8.0,0,0.0,5,4.0,1,96860.0
8.0,3,0.0,5,2.0,1,53750.0
4.0,3,0.0,7,4.0,2,21195.0
6.0,0,15.0,5,4.0,1,74990.0
4.0,4,5.0,6,4.0,0,43613.0
6.0,3,13.0,4,4.0,0,55183.0
4.0,4,6.0,6,4.0,0,75595.0
6.0,3,0.0,0,3.0,0,64025.0
4.0,3,1.0,6,4.0,0,30499.0
8.0,3,2.0,5,4.0,1,50058.0
4.0,3,13.0,6,4.0,2,30383.0
4.0,3,0.0,6,4.0,2,30034.0
4.0,3,1.0,6,4.0,0,38040.0
6.0,3,6.0,6,4.0,1,84190.0
6.0,3,35.0,6,4.0,0,44170.0
8.0,3,33.0,6,4.0,0,47340.0
3.0,3,0.0,6,4.0,1,30020.0
4.0,3,5.0,6,4.0,0,59420.0
4.0,3,0.0,5,4.0,1,50565.0
4.0,4,25.0,6,4.0,0,39832.0
4.0,0,9.0,0,3.0,3,72357.0
8.0,3,1.0,5,4.0,1,46672.0
6.0,3,6.0,6,4.0,1,47080.0
6.0,3,25.0,6,4.0,0,46905.0
6.0,3,89.0,6,4.0,1,90350.0
6.0,3,10.0,7,4.0,3,35994.0
4.0,4,26.0,6,4.0,1,62255.0
3.0,3,9.0,6,4.0,1,31390.0
6.0,3,9.0,6,4.0,1,69035.0
6.0,3,14.0,6,4.0,1,77473.0
4.0,3,17.0,6,4.0,1,36331.0
6.0,3,20.0,6,4.0,1,72835.0
4.0,3,1.0,6,4.0,0,40250.0
6.0,3,9.0,6,4.0,0,88695.0
4.0,4,2.0,6,4.0,1,60884.0
4.0,3,8.0,6,4.0,1,33668.0
4.0,3,5.0,6,4.0,0,39025.0
8.0,3,2.0,5,4.0,1,49628.0
4.0,3,0.0,6,4.0,0,32198.0
4.0,3,11.0,7,4.0,2,20389.0
6.0,3,4.0,6,4.0,1,50923.0
4.0,3,7.0,6,4.0,1,28860.0
6.0,0,6.0,5,4.0,1,83640.0
4.0,3,1.0,5,4.0,0,42064.0
6.0,0,10.0,5,4.0,1,60925.0
4.0,3,24.0,6,4.0,0,40880.0
4.0,4,11.0,6,4.0,1,53791.0
4.0,3,3.0,6,4.0,0,51361.0
4.0,3,1.0,5,4.0,0,43684.0
4.0,3,2.0,6,4.0,0,30101.0
4.0,3,13.0,7,4.0,2,23160.0
4.0,3,7.0,7,4.0,2,24348.0
8.0,3,0.0,5,2.0,3,47763.0
4.0,3,0.0,6,4.0,0,49895.0
8.0,3,105.0,5,4.0,1,77885.0
4.0,3,3.0,6,4.0,0,28997.0
4.0,3,9.0,6,4.0,3,40145.0
3.0,3,14.0,6,4.0,1,35077.0
4.0,3,10.0,7,4.0,0,54545.0
6.0,3,3838.0,6,4.0,0,46000.0
4.0,3,0.0,6,4.0,0,49720.0
4.0,4,10.0,6,4.0,0,41720.0
6.0,3,650.0,6,4.0,1,110150.0
4.0,3,6.0,7,4.0,2,31225.0
6.0,3,18.0,6,4.0,1,79487.0
6.0,3,1.0,0,3.0,3,51803.0
4.0,3,3425.0,6,4.0,2,32750.0
6.0,3,10.0,6,4.0,0,89450.0
4.0,3,10.0,6,4.0,1,46973.0
4.0,5,26.0,6,4.0,0,58949.0
4.0,3,9.0,6,4.0,0,37430.0
4.0,3,5.0,7,4.0,2,27175.0
4.0,4,5.0,6,4.0,1,63440.0
4.0,3,2.0,6,4.0,2,31222.0
3.0,3,8.0,6,4.0,0,36860.0
6.0,3,10.0,6,4.0,1,48612.0
6.0,3,3.0,0,3.0,2,53890.0
4.0,3,7.0,6,4.0,1,28265.0
6.0,3,19.0,7,4.0,3,103045.0
4.0,3,12.0,6,4.0,0,73360.0
4.0,0,8.0,0,3.0,3,62295.0
4.0,3,11.0,6,4.0,1,28265.0
6.0,3,12.0,6,4.0,3,44160.0
4.0,3,10.0,6,4.0,0,32837.0
6.0,3,0.0,6,4.0,0,49900.0
